province,fsa,population_2016,lim_at_prevalence,lim_at_count,sac_rural_category,clc_rural_indicator,clc_rural_label,clc_low_income_indicator,clc_low_income_label,female,black,indigenous,unemployment_rate,youth_15_to_24,youth_15_to_29,french_speakers,french_first_official_language,immigrant
Manitoba,R1N,16788,0.18100000000000002,2865,3,0,Not Rural,0,Not Low Income,8630,90,4665,0.07,2090,3125,955,260,945
Ontario,N3W,13409,0.061,810,4,1,Rural,0,Not Low Income,6720,60,445,0.049,1895,2570,535,120,1160
Ontario,N4K,28286,0.171,4665,3,0,Not Rural,0,Not Low Income,14840,235,1050,0.066,3150,4680,1795,235,1935
Ontario,N4L,8117,0.15,1200,4,1,Rural,0,Not Low Income,4210,15,170,0.057,750,1100,540,90,885
Ontario,N4S,32254,0.129,4060,3,0,Not Rural,0,Not Low Income,16300,295,740,0.054000000000000006,3810,5915,1610,310,3035
Ontario,N5H,15199,0.182,2725,4,1,Rural,0,Not Low Income,7720,105,210,0.078,2170,3005,340,55,3225
Ontario,N7A,11720,0.125,1430,6,1,Rural,0,Not Low Income,6040,45,135,0.054000000000000006,1200,1705,530,95,845
Saskatchewan,S4S,34958,0.114,3870,1,0,Not Rural,0,Not Low Income,17790,980,1580,0.057,4875,7780,2885,540,6895
Ontario,P0A,16481,0.188,3055,5,1,Rural,0,Not Low Income,8050,40,530,0.107,1385,2080,730,235,1225
Ontario,P0B,9138,0.096,870,5,1,Rural,0,Not Low Income,4450,30,195,0.067,910,1400,555,110,690
Ontario,P0C,3834,0.14800000000000002,520,5,1,Rural,0,Not Low Income,1845,30,350,0.073,355,530,175,40,350
Ontario,P0E,3149,0.151,470,5,1,Rural,0,Not Low Income,1525,0,205,0.087,300,405,120,30,245
Ontario,P0H,31187,0.141,4270,2,0,Not Rural,0,Not Low Income,15475,45,3990,0.095,2850,4180,10375,7110,1070
Ontario,P3E,27210,0.124,3250,1,0,Not Rural,0,Not Low Income,14350,380,1665,0.071,3265,4965,7480,3585,3215
Alberta,T4M,4742,0.04,190,4,1,Rural,0,Not Low Income,2330,30,425,0.11900000000000001,475,1070,250,80,215
Alberta,T4N,33829,0.14800000000000002,4940,2,0,Not Rural,0,Not Low Income,16940,640,2085,0.10400000000000001,4310,7095,1735,410,5065
Alberta,T4S,20374,0.083,1665,3,0,Not Rural,0,Not Low Income,10135,170,1155,0.12300000000000001,2555,4130,1215,255,1190
Manitoba,R4K,883,0.065,35,4,1,Rural,0,Not Low Income,435,15,70,0,135,180,50,20,50
Manitoba,R5G,21738,0.16,3435,3,0,Not Rural,0,Not Low Income,11080,255,1310,0.055,3255,4805,925,355,4925
Manitoba,R5H,5839,0.127,730,4,1,Rural,0,Not Low Income,2910,50,1125,0.064,670,1010,1900,1130,400
Alberta,T4T,13389,0.09,1050,6,1,Rural,0,Not Low Income,6765,25,2235,0.13699999999999998,1725,2560,495,115,630
Alberta,T2J,46394,0.07,3230,1,0,Not Rural,0,Not Low Income,23185,730,1310,0.091,5275,7850,3310,680,8005
Saskatchewan,S0A,52641,0.179,8435,5,1,Rural,0,Not Low Income,26240,65,7600,0.063,5440,7930,875,270,2315
Saskatchewan,S0C,23395,0.1,2230,6,1,Rural,0,Not Low Income,11375,75,1420,0.065,2645,4045,845,440,1190
Ontario,P0M,49750,0.098,4665,1,0,Not Rural,0,Not Low Income,24620,105,6855,0.092,5355,7890,22160,15760,1390
Ontario,P0R,12479,0.182,2135,5,1,Rural,0,Not Low Income,6285,40,1575,0.1,1135,1590,1845,920,655
Ontario,N4N,9901,0.14400000000000002,1375,5,1,Rural,0,Not Low Income,5150,35,190,0.057999999999999996,1035,1495,520,50,585
Ontario,P5E,5229,0.128,655,5,1,Rural,0,Not Low Income,2630,10,610,0.07200000000000001,570,850,1095,615,125
Alberta,T1G,10339,0.11599999999999999,1160,5,1,Rural,0,Not Low Income,5200,10,240,0.073,1450,2070,160,40,1810
Ontario,N4W,11199,0.11900000000000001,1305,5,1,Rural,0,Not Low Income,5760,55,110,0.034,1460,2120,220,40,920
Saskatchewan,S0J,49995,0.162,4670,6,1,Rural,0,Not Low Income,24670,120,28465,0.154,7050,10045,1830,915,970
Alberta,T1L,7442,0.064,390,5,1,Rural,0,Not Low Income,3570,75,120,0.047,1100,2050,1730,325,1515
Ontario,N4X,9791,0.091,865,4,1,Rural,0,Not Low Income,5005,65,110,0.022000000000000002,1150,1680,345,50,660
Ontario,N5A,31302,0.11699999999999999,3550,3,0,Not Rural,0,Not Low Income,16150,320,505,0.051,3575,5295,1835,185,3375
Ontario,P7G,12432,0.055999999999999994,690,1,0,Not Rural,0,Not Low Income,6095,70,815,0.075,1570,2130,1085,325,1205
Alberta,T1P,16843,0.085,1395,3,0,Not Rural,0,Not Low Income,8525,175,925,0.081,2030,3000,595,205,1310
Alberta,T1S,32951,0.059000000000000004,1915,3,0,Not Rural,0,Not Low Income,16580,250,1270,0.077,4150,5625,2295,440,4235
Alberta,T1V,15593,0.085,1290,3,0,Not Rural,0,Not Low Income,7880,135,545,0.077,1650,2350,770,170,1915
Alberta,T1W,14755,0.07,1000,3,0,Not Rural,0,Not Low Income,7335,50,285,0.057,1435,2430,2850,815,2490
Saskatchewan,S9H,18070,0.096,1685,3,0,Not Rural,0,Not Low Income,9150,55,710,0.046,2130,3335,785,185,1430
Saskatchewan,S9V,14694,0.106,1545,3,0,Not Rural,0,Not Low Income,7165,120,1895,0.11199999999999999,2195,3700,490,85,2455
Saskatchewan,S9X,7798,0.16899999999999998,1190,6,1,Rural,0,Not Low Income,4000,65,3500,0.092,1105,1680,195,50,300
Alberta,T0A,59234,0.105,5600,5,1,Rural,0,Not Low Income,28805,495,13095,0.113,7645,11370,5365,2770,2850
Alberta,T0E,43729,0.10300000000000001,4060,5,1,Rural,0,Not Low Income,20750,170,5830,0.11199999999999999,4925,7370,2355,825,2985
Alberta,T0K,55487,0.133,6365,5,1,Rural,0,Not Low Income,27520,125,3890,0.061,7160,10045,1260,320,6715
